Model Name,Dataset Name,Layer,nDCG@10,Kendall τ
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2019/judged,Embeddings,0.293,0.000
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2019/judged,Layer 1,0.176,-0.037
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2019/judged,Layer 2,0.197,0.014
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2019/judged,Layer 3,0.169,-0.049
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2019/judged,Layer 4,0.294,0.170
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2019/judged,Layer 5,0.712,0.713
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2019/judged,Layer 6,0.733,1.000
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2020/judged,Embeddings,0.208,0.000
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2020/judged,Layer 1,0.112,0.009
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2020/judged,Layer 2,0.123,-0.078
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2020/judged,Layer 3,0.089,-0.058
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2020/judged,Layer 4,0.241,0.172
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2020/judged,Layer 5,0.580,0.705
Reproduced Sparse 512 w=4,msmarco-passage/trec-dl-2020/judged,Layer 6,0.666,1.000
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2021/judged,Embeddings,0.223,0.000
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2021/judged,Layer 1,0.154,-0.075
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2021/judged,Layer 2,0.211,-0.028
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2021/judged,Layer 3,0.148,-0.065
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2021/judged,Layer 4,0.217,0.104
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2021/judged,Layer 5,0.563,0.689
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2021/judged,Layer 6,0.640,1.000
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2022/judged,Embeddings,0.138,0.000
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2022/judged,Layer 1,0.099,-0.066
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2022/judged,Layer 2,0.125,0.002
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2022/judged,Layer 3,0.107,-0.031
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2022/judged,Layer 4,0.144,0.102
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2022/judged,Layer 5,0.410,0.657
Reproduced Sparse 512 w=4,msmarco-passage-v2/trec-dl-2022/judged,Layer 6,0.485,1.000
Reproduced Sparse 512 w=4,beir/hotpotqa/test,Embeddings,0.057,0.000
